Time,Place
1414271593,Strokos Gourmet Deli Inc
1414270313,Culture Tea Bar
1414194156,Strokos Gourmet Deli Inc
1413906199,Oasis Juice Bar
1413832588,Pisticci Ristorante
1413679717,Culture Tea Bar
1413487714,Culture Tea Bar
1413241528,Strokos Gourmet Deli Inc
1413142260,Häagen-Dazs
1413141241,Chipotle Mexican Grill
1413076172,TMagic
1412975361,Culture Tea Bar
1412813321,Dig Inn Seasonal Market
1412723298,Strokos Gourmet Deli Inc
1412652011,Tom's Restaurant
1412549757,Strokos Gourmet Deli Inc
1412381194,Culture Tea Bar
1412303472,Chapati House
1412264670,Culture Tea Bar
1412102612,Culture Tea Bar
1412052336,Apple Tree Supermarket
1412036893,Lerner Hall - Columbia University
1412020479,Strokos Gourmet Deli Inc
1411954209,Pinkberry
1411953507,Chipotle Mexican Grill
1411700911,Columbia Business School
1411691750,Culture Tea Bar
1411506964,Chipotle Mexican Grill
1411257752,Massawa
1411165803,Falafel on Broadway
1411091313,Max SoHa
1410388360,Culture Tea Bar
1410053071,Urban Outfitters
1410049316,Lincoln Square
1409966939,Pisticci Ristorante
1409881076,TMagic
1409794941,Saravanaa Bhavan
1409672292,SubsConscious
1409529607,Chapati House
1409529234,Culture Tea Bar
1409107338,Ripley's Believe It Or Not! Times Square
1409075732,Chapati House
1408753333,Oasis Juice Bar
1408753281,Falafel on Broadway
1408311029,Oasis Juice Bar
1407897054,Chapati House
1407760240,John F. Kennedy International Airport (JFK)
1407736207,Norman Y. Mineta San José International Airport (SJC)
1407732637,Madras Cafe
1407623052,Sri Ananda Bhavan
1407576733,IHOP
1407526674,Fogo de Chão
1407206990,Denny's
1407124991,AMC Mercado 20
1407120583,Bharat Bazar
1407120568,Bawarchi Restaurant
1407106822,K1 Speed Santa Clara
1406869055,Dosa & Curry Café
1406837849,Fantasia Coffee & Tea
1406833239,Darda Seafood 清真一條龍
1406775475,Punjab Cafe
1406703645,Safeway
1406609897,Denny's
1406522836,IHOP
1406513702,Venice Beach Parking
1406482894,Disney California Adventure Park
1406482485,Disneyland
1406482463,World of Disney
1406479845,Crown of India
1406433059,Ripley's Believe It or Not! Hollywood Museum
1406433038,Hollywood Walk of Fame
1406427213,Universal CityWalk
1406427122,Water World
1406399757,Universal Studios Hollywood
1406396367,Omni Los Angeles Hotel at California Plaza
1406178121,Fantasia Coffee & Tea
1406144433,PayPal Building 10 Café
1406093412,Dosa & Curry Café
1406091944,Tapioca Express
1406084916,PayPal Building 10 Café
1405994610,McDonald's
1405888813,Towne 3 - Big Cinemas
1405885414,Punjab Cafe
1405841447,Hookah Castle
1405835840,Dosa Place
1405832041,Union Square
1405821764,Ghirardelli Square
1405820953,Ghirardelli Chocolate Marketplace
1405817184,Coit Tower
1405815909,Tuk Tuk Thai Cafe
1405810348,Electric Tour Company - Segway & Electric Bike Tours
1405647538,IHOP
1405572975,Fantasia Coffee & Tea
1405140044,Golden Gate Bridge
1405135946,Cityscape Bar & Restaurant
1405058788,Hilton San Francisco Union Square
1405042811,Union Square
1404689256,Nikki's Chaat Café
1404678883,Kiva Beach
1404623359,Harrah's Lake Tahoe Resort & Casino
1404609879,Nikki's Chaat Café
1404518774,Bob Dog Pizza
1404481305,San Francisco International Airport (SFO)
1404187771,Great Mall
1404012606,Madurai Idli Kadai
1403928610,Tangerine Hookah Lounge
1403831894,Chipotle Mexican Grill
1403746207,McDonald's
1403585505,IHOP
1403576378,Great Mall
1403481873,Ideal Bar & Grill
1403471356,The Falafel Hut
1403466692,Santa Cruz Beach Boardwalk
1403465680,Mystery Spot
1403408217,San Francisco
1403397964,Hess Collection Winery
1402882261,Chipotle Mexican Grill
1402808479,Thai Spice
1402707627,Umbrella Salon
1402686794,Thea Mediterranean Cuisine
1402638043,The Cheesecake Factory
1402531369,4th Street Bowl Coffee Shop
1402446768,PayPal Headquarters
1402101745,Starbucks @ PayPal
1402013820,Gordon Biersch Brewery Restaurant
1401944544,Dosa & Curry Café
1401931539,CVS/pharmacy
1401928360,PayPal Headquarters
1401858047,Kohl's
1401843645,Subway
1401758223,Walgreens
1401755564,PayPal Headquarters
1401663676,Tapioca Express
1401661325,Amarin Thai Cuisine
1401659187,Bayshore-NASA VTA Station
1401239888,City of San José
1401239749,Subway
1401239713,Dosa & Curry Café
1401239671,The Market by Safeway
1400950898,Giant Dipper
1400950600,Santa Cruz Main Beach
1400637302,Downtown San Jose
1400526991,PayPal Headquarters
1400379494,Chipotle Mexican Grill
1400376840,Norman Y. Mineta San José International Airport (SJC)
1400366857,Los Angeles International Airport (LAX)
1400332974,John F. Kennedy International Airport (JFK)
1399550190,4 World Trade Center
1399550005,Burger King
1399549453,Social Security Administration
1399549281,9/11 Memorial Preview Site
1397328198,Chapati House
1397264911,Uni Cafe
1397176203,Panini D'Parma
1396435112,Chapati House
1395716147,Chapati House
1393666696,SubsConscious
1393666578,Chapati House
1393666389,Morton Williams
1393666341,Joe
1392692409,Shahi Biryani & Grill
1388957410,AMC Loews 84th Street 6
1388774897,LaGuardia Airport (LGA)
1388606679,Madame Tussauds New York
1388517970,Saravana Bhavan
1387504465,Thai Market
1384475186,Roti Roll
1384047569,AMC Loews Lincoln Square 13
1383450017,Times Square
1383429746,Union Square Park
1383017354,Tom's Restaurant
1382835135,Saravana Bhavan
1382476930,SubsConscious
1380320982,SubsConscious
1379293532,SubsConscious
1378430462,Ollie's Noodle Shop
1378149733,Macy's
1378085589,McDonald's
1378071461,Panera Bread
1378070721,Princeton University
1378070689,Dickinson Hall
1378061602,NJT - New Brunswick Station (NEC)
1377957248,Six Flags Great Adventure
1377954987,George Washington Bridge
1377896338,Dave & Buster's
1377713926,Topshop
1377712598,SoHo
1377565353,H&M
1377565327,Macy's
1377382019,IKEA Brooklyn
1377298174,Best Buy
1377293022,International House
1377292999,Claremont Ave
1377264722,Lerner Hall - Columbia University
1377011092,Rite Aid
1376863110,Forever 21
1376859797,Times Square
1376852862,New York University
1376852356,Starbucks
1376850606,Washington Square Park
1376848707,Topshop
1376780921,Google New York
1376772228,Chelsea Market
1376672973,Rite Aid
1376495208,Subway Sandwiches
1376451564,John F. Kennedy International Airport (JFK)
1376446802,Uni Cafe
1376446727,Low Steps - Columbia University
1376443887,2790 Broadway
1376368730,Abu Dhabi International Airport (AUH) مطار أبو ظبي الدولي
1376349733,Chennai International Airport (MAA)
1376318777,Murugan Idli Shop
1376296110,Saravana Bhavan
1376209897,Adyar Ananda Bhavan
1376039210,The Grand Sweets & Snacks
1376038293,Airtel Relationship Center - T Nagar
1376038201,Subway
1375956596,Rathna Stores [Firm]
1375954097,Pondy Bazaar
1375952244,The Grand Sweets & Snacks
1375862452,Hotel Saravana Bhavan
1375630123,Nalas
1375289526,Cafe Coffee Day
1375083918,Perungudi Bus Stop
1375033899,Madiwala
1375001780,The Oasis Centre
1375001694,Pantaloons, Sony World Signal, Koramangala
1375001636,Taco Bell
1374954394,McDonalds
1374929346,KFC
1374929331,Levi's
1374929296,The Forum Mall
1374909600,Chaitanya Cafe
1374854317,Chaitanya Cafe
1374826043,Chennai Omni Bus Stand
1374763137,Perungudi Bus Stop
1374149757,Thoothukudi
1371885358,Mainland China
1370788123,Hot Pot China
1370778981,Café Coffee Day
1370774319,College of Engineering ( Main Building)
1370690488,Cafe Coffee Day
1370520280,Cafe Coffee Day
1369990001,Triplicane
1369917396,Adyar Bakery
1369447079,Madiwala Bus Stand
1369416617,Chennai Omni Bus Stand
1369140273,Adyar Bakery
1368970418,Sri venkateshwara super market
1368891753,KFC
